City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,yazykovo,55.2199,56.1353,12.48,93,88,2.54,RU,1722731115
351,putnok,48.3,20.4333,15.95,90,58,1.23,HU,1722731117
352,sur,22.5667,59.5289,31.38,58,100,3.36,OM,1722731118
353,port augusta,-32.5,137.7667,13.43,64,100,3.63,AU,1722731058
354,itigi,-5.7,34.4833,15.61,65,2,3.18,TZ,1722731121
355,sitka,57.0531,-135.33,17.94,63,40,6.17,US,1722730877
356,jalalaqsi,3.3766,45.5996,22.68,89,87,5.67,SO,1722731125
357,harper,4.375,-7.7169,23.93,83,100,3.28,LR,1722731071
358,santa elena de uairen,4.6167,-61.1333,19.88,92,82,1.44,VE,1722731127
359,brookings,44.3114,-96.7984,31.17,68,0,4.12,US,1722730952
360,laojunmiao,39.8333,97.7333,23.0,19,68,1.8,CN,1722731129
361,ishim,56.1128,69.4902,13.47,88,22,2.82,RU,1722731130
